Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Traffic offence variation 114,15,Road Traffic Act 1988,Contravenes road traffic regulations 114,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982015,6 months imprisonment,Police,R v Example114 [1987] RTR 114,Road traffic violation 114,Traffic
Public order offence 115,16,Public Order Act 1986,Disrupts public order in specific manner 115,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983016,6 months imprisonment,Police,R v Example115 [1987] QB 115,Public disorder 115,Public Order
Cybercrime offence 116,17,Computer Misuse Act 1990,Unlawfully uses computer systems 116,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984017,10 years imprisonment,CPS,R v Example116 [2000] 2 AC 116,Digital crime 116,Cybercrime
Financial crime 117,18,Fraud Act 2006,Dishonestly obtains financial advantage 117,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985018,10 years imprisonment,CPS,R v Example117 [2012] EWCA Crim 117,Economic offence 117,Financial Crime
Terrorism offence 118,19,Terrorism Act 2000,Engages in terrorist-related activity 118,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986019,14 years imprisonment,CPS,R v Example118 [2007] EWCA Crim 118,National security threat 118,Terrorism
Environmental crime 119,20,Environmental Protection Act 1990,Causes environmental damage 119,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987020,5 years imprisonment,Environment Agency,R v Example119 [1996] Env LR 119,Environmental damage 119,Environmental
Corporate offence 120,21,Companies Act 2006,Fails to comply with corporate duties 120,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988021,2 years imprisonment,CPS,R v Example120 [1989] 1 WLR 120,Corporate compliance 120,Corporate Crime
Theft variation 121,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 121,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example121 [1982] QB 121,Specific theft circumstances 121,Theft
Assault variation 122,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 122,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example122 [1976] 1 WLR 122,Specific assault type 122,Assault
Drug offence variation 123,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 123,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example123 [1986] 82 Cr App R 123,Drug-related conduct 123,Drugs
Traffic offence variation 124,25,Road Traffic Act 1988,Contravenes road traffic regulations 124,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example124 [1987] RTR 124,Road traffic violation 124,Traffic
Public order offence 125,26,Public Order Act 1986,Disrupts public order in specific manner 125,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example125 [1987] QB 125,Public disorder 125,Public Order
Cybercrime offence 126,27,Computer Misuse Act 1990,Unlawfully uses computer systems 126,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example126 [2000] 2 AC 126,Digital crime 126,Cybercrime
Financial crime 127,28,Fraud Act 2006,Dishonestly obtains financial advantage 127,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example127 [2012] EWCA Crim 127,Economic offence 127,Financial Crime
Terrorism offence 128,29,Terrorism Act 2000,Engages in terrorist-related activity 128,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example128 [2007] EWCA Crim 128,National security threat 128,Terrorism
Environmental crime 129,30,Environmental Protection Act 1990,Causes environmental damage 129,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example129 [1996] Env LR 129,Environmental damage 129,Environmental
Corporate offence 130,31,Companies Act 2006,Fails to comply with corporate duties 130,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example130 [1989] 1 WLR 130,Corporate compliance 130,Corporate Crime
Theft variation 131,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 131,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example131 [1982] QB 131,Specific theft circumstances 131,Theft
Assault variation 132,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 132,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example132 [1976] 1 WLR 132,Specific assault type 132,Assault
Drug offence variation 133,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 133,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example133 [1986] 82 Cr App R 133,Drug-related conduct 133,Drugs
Traffic offence variation 134,35,Road Traffic Act 1988,Contravenes road traffic regulations 134,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example134 [1987] RTR 134,Road traffic violation 134,Traffic
Public order offence 135,36,Public Order Act 1986,Disrupts public order in specific manner 135,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example135 [1987] QB 135,Public disorder 135,Public Order
Cybercrime offence 136,37,Computer Misuse Act 1990,Unlawfully uses computer systems 136,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example136 [2000] 2 AC 136,Digital crime 136,Cybercrime
Financial crime 137,38,Fraud Act 2006,Dishonestly obtains financial advantage 137,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example137 [2012] EWCA Crim 137,Economic offence 137,Financial Crime
Terrorism offence 138,39,Terrorism Act 2000,Engages in terrorist-related activity 138,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example138 [2007] EWCA Crim 138,National security threat 138,Terrorism
Environmental crime 139,40,Environmental Protection Act 1990,Causes environmental damage 139,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example139 [1996] Env LR 139,Environmental damage 139,Environmental
Corporate offence 140,41,Companies Act 2006,Fails to comply with corporate duties 140,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example140 [1989] 1 WLR 140,Corporate compliance 140,Corporate Crime
Theft variation 141,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 141,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example141 [1982] QB 141,Specific theft circumstances 141,Theft
Assault variation 142,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 142,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example142 [1976] 1 WLR 142,Specific assault type 142,Assault
Drug offence variation 143,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 143,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example143 [1986] 82 Cr App R 143,Drug-related conduct 143,Drugs
Traffic offence variation 144,45,Road Traffic Act 1988,Contravenes road traffic regulations 144,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example144 [1987] RTR 144,Road traffic violation 144,Traffic
Public order offence 145,46,Public Order Act 1986,Disrupts public order in specific manner 145,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example145 [1987] QB 145,Public disorder 145,Public Order
Cybercrime offence 146,47,Computer Misuse Act 1990,Unlawfully uses computer systems 146,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example146 [2000] 2 AC 146,Digital crime 146,Cybercrime
Financial crime 147,48,Fraud Act 2006,Dishonestly obtains financial advantage 147,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example147 [2012] EWCA Crim 147,Economic offence 147,Financial Crime
Terrorism offence 148,49,Terrorism Act 2000,Engages in terrorist-related activity 148,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example148 [2007] EWCA Crim 148,National security threat 148,Terrorism
Environmental crime 149,50,Environmental Protection Act 1990,Causes environmental damage 149,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example149 [1996] Env LR 149,Environmental damage 149,Environmental
Corporate offence 150,51,Companies Act 2006,Fails to comply with corporate duties 150,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example150 [1989] 1 WLR 150,Corporate compliance 150,Corporate Crime
Theft variation 151,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 151,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example151 [1982] QB 151,Specific theft circumstances 151,Theft
Assault variation 152,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 152,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example152 [1976] 1 WLR 152,Specific assault type 152,Assault
Drug offence variation 153,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 153,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example153 [1986] 82 Cr App R 153,Drug-related conduct 153,Drugs
Traffic offence variation 154,55,Road Traffic Act 1988,Contravenes road traffic regulations 154,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972055,6 months imprisonment,Police,R v Example154 [1987] RTR 154,Road traffic violation 154,Traffic
Public order offence 155,56,Public Order Act 1986,Disrupts public order in specific manner 155,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973056,6 months imprisonment,Police,R v Example155 [1987] QB 155,Public disorder 155,Public Order
Cybercrime offence 156,57,Computer Misuse Act 1990,Unlawfully uses computer systems 156,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974057,10 years imprisonment,CPS,R v Example156 [2000] 2 AC 156,Digital crime 156,Cybercrime
Financial crime 157,58,Fraud Act 2006,Dishonestly obtains financial advantage 157,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975058,10 years imprisonment,CPS,R v Example157 [2012] EWCA Crim 157,Economic offence 157,Financial Crime
Terrorism offence 158,59,Terrorism Act 2000,Engages in terrorist-related activity 158,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976059,14 years imprisonment,CPS,R v Example158 [2007] EWCA Crim 158,National security threat 158,Terrorism
Environmental crime 159,60,Environmental Protection Act 1990,Causes environmental damage 159,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977060,5 years imprisonment,Environment Agency,R v Example159 [1996] Env LR 159,Environmental damage 159,Environmental
Corporate offence 160,61,Companies Act 2006,Fails to comply with corporate duties 160,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978061,2 years imprisonment,CPS,R v Example160 [1989] 1 WLR 160,Corporate compliance 160,Corporate Crime
Theft variation 161,62,Theft Act 1968,Dishonestly appropriates property in specific circumstances 161,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979062,7 years imprisonment,CPS,R v Example161 [1982] QB 161,Specific theft circumstances 161,Theft
Assault variation 162,63,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 162,"1. Assault, 2. Unlawfully, 3. Another person",AS1980063,5 years imprisonment,CPS,R v Example162 [1976] 1 WLR 162,Specific assault type 162,Assault
Drug offence variation 163,64,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 163,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981064,14 years imprisonment,CPS,R v Example163 [1986] 82 Cr App R 163,Drug-related conduct 163,Drugs
Traffic offence variation 164,65,Road Traffic Act 1988,Contravenes road traffic regulations 164,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982065,6 months imprisonment,Police,R v Example164 [1987] RTR 164,Road traffic violation 164,Traffic
Public order offence 165,66,Public Order Act 1986,Disrupts public order in specific manner 165,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983066,6 months imprisonment,Police,R v Example165 [1987] QB 165,Public disorder 165,Public Order
Cybercrime offence 166,67,Computer Misuse Act 1990,Unlawfully uses computer systems 166,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984067,10 years imprisonment,CPS,R v Example166 [2000] 2 AC 166,Digital crime 166,Cybercrime
Financial crime 167,68,Fraud Act 2006,Dishonestly obtains financial advantage 167,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985068,10 years imprisonment,CPS,R v Example167 [2012] EWCA Crim 167,Economic offence 167,Financial Crime
Terrorism offence 168,69,Terrorism Act 2000,Engages in terrorist-related activity 168,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986069,14 years imprisonment,CPS,R v Example168 [2007] EWCA Crim 168,National security threat 168,Terrorism
Environmental crime 169,70,Environmental Protection Act 1990,Causes environmental damage 169,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987070,5 years imprisonment,Environment Agency,R v Example169 [1996] Env LR 169,Environmental damage 169,Environmental
Corporate offence 170,71,Companies Act 2006,Fails to comply with corporate duties 170,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988071,2 years imprisonment,CPS,R v Example170 [1989] 1 WLR 170,Corporate compliance 170,Corporate Crime
Theft variation 171,72,Theft Act 1968,Dishonestly appropriates property in specific circumstances 171,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989072,7 years imprisonment,CPS,R v Example171 [1982] QB 171,Specific theft circumstances 171,Theft
Assault variation 172,73,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 172,"1. Assault, 2. Unlawfully, 3. Another person",AS1990073,5 years imprisonment,CPS,R v Example172 [1976] 1 WLR 172,Specific assault type 172,Assault
